City,total_reviews,total_places,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Alirajpur,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Ausa,3,1,5.0,0,0,3,0.0,0.0,1.0,1.0
Avakali,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Azamgarh,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Balicha,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Banni,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Bataw,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Bhagdara,3,1,5.0,0,0,3,0.0,0.0,1.0,1.0
Bhairapur,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Boisar,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Chamrajnagar,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Chapagaon,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Cheruthuruthi,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Chindi,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Dahej,5,1,5.0,0,0,5,0.0,0.0,1.0,1.0
Deo,4,1,5.0,0,0,4,0.0,0.0,1.0,1.0
Dhali,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Dispur,13,1,5.0,0,0,13,0.0,0.0,1.0,1.0
Duhka,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Eppodumvenran,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Ezhome,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Galibeedu,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Garoi,5,1,5.0,0,0,5,0.0,0.0,1.0,1.0
Ghanerao,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Habra,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Haorang Sabal,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Hiala,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Jadupur,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Jagadhri,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Jawahar,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Jhargram,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Jibhi,3,1,5.0,0,0,3,0.0,0.0,1.0,1.0
Kandla,3,1,5.0,0,0,3,0.0,0.0,1.0,1.0
Khalapur,3,1,5.0,0,0,3,0.0,0.0,1.0,1.0
Khodala,7,1,5.0,0,0,7,0.0,0.0,1.0,1.0
Kidanganad,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Kodagurki,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Kulasekharam,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Kuravilangad,3,1,5.0,0,0,3,0.0,0.0,1.0,1.0
Lunglei,5,3,5.0,0,0,5,0.0,0.0,1.0,1.0
Maina,4,2,5.0,0,0,4,0.0,0.0,1.0,1.0
Mainpuri,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Malbazar,5,1,5.0,0,0,5,0.0,0.0,1.0,1.0
Manali Tehsil,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Manalur,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Mansa,6,1,5.0,0,0,6,0.0,0.0,1.0,1.0
Marigaon,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Mehkar,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Melukote,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Nabarangpur,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Narsinghpur,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Nayagrh,3,2,5.0,0,0,3,0.0,0.0,1.0,1.0
Neelavara,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Nimgaon,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Paithan,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Parthampura,4,1,5.0,0,0,4,0.0,0.0,1.0,1.0
Perupalem,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Sainthia,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Sajan,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Salud Dugra,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Sarangarh,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Shahpura,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Shangarh,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Singarayakonda,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Siuri,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Sonapur Pathar,4,1,5.0,0,0,4,0.0,0.0,1.0,1.0
Sunabeda,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Tattapani,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Thangadh,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
The Nilgiris District,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Thiruvavaduthurai,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Thoubal,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Tiptur,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Turuvekere,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Ugapur,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Umroli,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Upper Subansiri District,2,1,5.0,0,0,2,0.0,0.0,1.0,1.0
Vagholi,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Valapad,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Vallabh Vidyanagar,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Vijaynagar,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Williamnagar,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Yerragudi,1,1,5.0,0,0,1,0.0,0.0,1.0,1.0
Attingal,15,1,4.933333333333334,0,0,15,0.0,0.0,1.0,1.0
Nagoa,11,2,4.909090909090909,0,0,11,0.0,0.0,1.0,1.0
Bassi,9,1,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Haflong,9,1,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Pozhuthana,27,1,4.888888888888889,0,0,27,0.0,0.0,1.0,1.0
Itarsi,8,1,4.875,0,0,8,0.0,0.0,1.0,1.0
Dharuhera,6,2,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Azhikode,5,2,4.8,0,0,5,0.0,0.0,1.0,1.0
Baghpat,5,1,4.8,0,0,5,0.0,0.0,1.0,1.0
Nawanshahr,15,4,4.8,0,0,15,0.0,0.0,1.0,1.0
Songadh,5,3,4.8,0,0,5,0.0,0.0,1.0,1.0
Deesa,9,1,4.777777777777778,0,0,9,0.0,0.0,1.0,1.0
Piramadam,9,1,4.777777777777778,0,0,9,0.0,0.0,1.0,1.0
Anakulam,4,1,4.75,0,0,4,0.0,0.0,1.0,1.0
Bicholim,4,2,4.75,0,0,4,0.0,0.0,1.0,1.0
Egatoor,4,1,4.75,0,0,4,0.0,0.0,1.0,1.0
Rakchham,4,1,4.75,0,0,4,0.0,0.0,1.0,1.0
Tajganj,4,1,4.75,0,0,4,0.0,0.0,1.0,1.0
Udala,4,1,4.75,0,0,4,0.0,0.0,1.0,1.0
Vanakbara,4,1,4.75,0,0,4,0.0,0.0,1.0,1.0
Unjha,11,2,4.7272727272727275,0,0,11,0.0,0.0,1.0,1.0
Nakinda,18,1,4.722222222222222,0,0,18,0.0,0.0,1.0,1.0
Bidadi,7,1,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Delwara,7,1,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Parra,7,2,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Toranmal,10,3,4.7,0,0,10,0.0,0.0,1.0,1.0
Janakpuri,13,3,4.6923076923076925,0,0,13,0.0,0.0,1.0,1.0
Chicolna,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Dyathapura,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Gholu Majra,6,1,4.666666666666667,0,0,6,0.0,0.0,1.0,1.0
Jamtara,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Kasarkod,9,1,4.666666666666667,0,0,9,0.0,0.0,1.0,1.0
Khetri,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Khurja,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Kolagappara,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Kudrasthe,6,1,4.666666666666667,0,0,6,0.0,0.0,1.0,1.0
Lakkundi,6,2,4.666666666666667,0,0,6,0.0,0.0,1.0,1.0
Long Island,3,2,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Madla,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Tasgaon,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
Venkannaguda,3,1,4.666666666666667,0,0,3,0.0,0.0,1.0,1.0
