Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
AADRIK HOLIDAYS,Malbazar,5,5.0,0,0,5,0.0,0.0,1.0,1.0
AUGUSTIN Studio & Gallery,Agonda,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Adhbut Temple,Haridwar,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Art Mall,New Delhi,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Arya Ayurvedic Centre,Varca,8,5.0,0,0,8,0.0,0.0,1.0,1.0
Belghar Nature Camp,Phulbani,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Chandrampalli Dam,Gulbarga,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Chinmaya Mission,Mumbai,14,5.0,0,0,14,0.0,0.0,1.0,1.0
Dechen Choekhor Mahavihara Monastery,Kullu,12,5.0,0,0,12,0.0,0.0,1.0,1.0
Deobandh Temple,Khodala,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Dr. Diwan Singh Kalepani Museum,Mohali,8,5.0,0,0,8,0.0,0.0,1.0,1.0
Ele Jaipur,Jaipur,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Ezhimala View Point,Kannur,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Girna Dam,Nashik,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Gobardhana Pitha Garoi Ashram,Garoi,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Hatnur Dam,Jalgaon,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Indica Surf School,Nileshwar,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Jadeshwar Temple,Porbandar,7,5.0,0,0,7,0.0,0.0,1.0,1.0
KLN Yadav Park,Hyderabad,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Kalarasa Art House,Bengaluru,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Kanjaripuzha Dam,Palakkad,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Kashmir Tourism Booking,Srinagar,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Kashmir Travel Express,Pahalgam,8,5.0,0,0,8,0.0,0.0,1.0,1.0
Kashyapi Dam,Nashik,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Kelva Beach,Palghar,12,5.0,0,0,12,0.0,0.0,1.0,1.0
Kerala Private Tours,Thodupuzha,12,5.0,0,0,12,0.0,0.0,1.0,1.0
Khoj-aao! Adventures,Mapusa,19,5.0,0,0,19,0.0,0.0,1.0,1.0
Kumaramangalam Park,Barddhaman,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Laxmi Mata Temple,Pune,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Mapple Jungle Camp,Anandpur Sahib,13,5.0,0,0,13,0.0,0.0,1.0,1.0
Master World Culinary Tours,Nedumbassery,10,5.0,0,0,10,0.0,0.0,1.0,1.0
Museum of Legacies,Jaipur,5,5.0,0,0,5,0.0,0.0,1.0,1.0
My Kerala Taxi Cab,Perumbavoor,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Natesan Park,Chennai,9,5.0,0,0,9,0.0,0.0,1.0,1.0
Nirvana Spa,Nagoa,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Odean Cinema,Balasore,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Omkara Hills,Bengaluru,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Open Books library Arambol,Arambol,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Orissa Modern Art Gallery,Bhubaneswar,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Parasnath Jain Temple,Solapur,6,5.0,0,0,6,0.0,0.0,1.0,1.0
PetraVeda,Agonda,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Prantika,Shimla,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Pride Resorts,Hyderabad,8,5.0,0,0,8,0.0,0.0,1.0,1.0
